time	V(v_cuad)	V(v_triag)
1.986797601285269e-05	3.028743e-01	2.048759e+00
1.986875726285269e-05	3.028744e-01	2.049062e+00
1.987031976285269e-05	3.028745e-01	2.049669e+00
1.987071038785269e-05	3.028746e-01	2.049820e+00
1.987080804410269e-05	3.028746e-01	2.049858e+00
1.987100335660269e-05	3.028746e-01	2.049934e+00
1.987105218472769e-05	3.028746e-01	2.049953e+00
1.987114984097769e-05	3.028745e-01	2.049991e+00
1.987117425504019e-05	3.028734e-01	2.050000e+00
1.987122308316519e-05	3.028514e-01	2.050019e+00
1.987132073941519e-05	3.027200e-01	2.050056e+00
1.987133536988208e-05	3.026874e-01	2.050061e+00
1.987136463081585e-05	3.026375e-01	2.050071e+00
1.987142315268340e-05	3.024822e-01	2.050091e+00
1.987142656375294e-05	3.024732e-01	2.050092e+00
1.987143111184567e-05	3.024629e-01	2.050094e+00
1.987144020803113e-05	3.024445e-01	2.050097e+00
1.987145840040203e-05	3.024118e-01	2.050103e+00
1.987149478514384e-05	3.023596e-01	2.050114e+00
1.987156755462746e-05	3.022961e-01	2.050138e+00
1.987171309359471e-05	3.022707e-01	2.050186e+00
1.987200417152920e-05	3.023814e-01	2.050292e+00
1.987258632739818e-05	3.026141e-01	2.050519e+00
1.987345835292545e-05	3.027202e-01	2.050862e+00
1.987483009273658e-05	3.027338e-01	2.051393e+00
1.987694745603335e-05	3.027348e-01	2.052213e+00
1.988047912156337e-05	3.027354e-01	2.053574e+00
1.988655167772913e-05	3.027420e-01	2.055898e+00
1.989869679006063e-05	3.027546e-01	2.060472e+00
1.992012289520306e-05	3.027874e-01	2.068347e+00
1.994212810504488e-05	3.028165e-01	2.076322e+00
1.997129051079730e-05	3.028498e-01	2.087068e+00
2.000000000000000e-05	3.028685e-01	2.098057e+00
2.000340090984256e-05	3.028705e-01	2.099393e+00
2.001020272952767e-05	3.028732e-01	2.102074e+00
2.002380636889789e-05	3.028776e-01	2.107493e+00
2.005101364763834e-05	3.028841e-01	2.118457e+00
2.010542820511924e-05	3.028919e-01	2.140363e+00
2.020542820511924e-05	3.029008e-01	2.179669e+00
2.030542820511924e-05	3.029093e-01	2.218267e+00
2.040542820511924e-05	3.029189e-01	2.256999e+00
2.060542820511923e-05	3.029378e-01	2.334614e+00
2.210542820511922e-05	3.030831e-01	2.916383e+00
2.230542820511922e-05	3.031140e-01	2.994072e+00
2.240542820511922e-05	3.031390e-01	3.033012e+00
2.250542820511922e-05	3.031781e-01	3.072090e+00
2.260542820511921e-05	3.032446e-01	3.111396e+00
2.270542820511921e-05	3.033585e-01	3.151029e+00
2.280542820511921e-05	3.035896e-01	3.190974e+00
2.290542820511921e-05	3.044043e-01	3.230685e+00
2.291792820511921e-05	3.053533e-01	3.235557e+00
2.291831883011921e-05	3.054983e-01	3.235710e+00
2.291910008011921e-05	3.062187e-01	3.236024e+00
2.291929539261921e-05	3.084084e-01	3.236133e+00
2.291968601761921e-05	1.002133e+00	3.246200e+00
2.291972011672043e-05	1.277275e+00	3.248929e+00
2.291978831492288e-05	1.853490e+00	3.256072e+00
2.291992471132777e-05	3.241868e+00	3.278374e+00
2.292013721286476e-05	4.619319e+00	3.311864e+00
2.292018251525666e-05	4.620229e+00	3.315273e+00
2.292027312004046e-05	4.620869e+00	3.319419e+00
2.292045432960805e-05	4.618922e+00	3.319860e+00
2.292081674874323e-05	4.613939e+00	3.316464e+00
2.292154158701360e-05	4.608705e+00	3.312758e+00
2.292299126355433e-05	4.606931e+00	3.311225e+00
2.292587149410477e-05	4.608298e+00	3.311763e+00
2.293033851459608e-05	4.609564e+00	3.311714e+00
2.293910099388653e-05	4.611488e+00	3.310820e+00
2.295063402904807e-05	4.612567e+00	3.307703e+00
2.296895433849968e-05	4.612659e+00	3.300152e+00
2.299438868069584e-05	4.610948e+00	3.285559e+00
2.302537516952871e-05	4.608215e+00	3.264293e+00
2.306435018633111e-05	4.605288e+00	3.237459e+00
2.311074680816489e-05	4.603696e+00	3.212393e+00
2.316116454703130e-05	4.603392e+00	3.192138e+00
2.321732961593579e-05	4.603576e+00	3.172378e+00
2.327927736131725e-05	4.603507e+00	3.149769e+00
2.334568103671669e-05	4.603352e+00	3.125036e+00
2.344568103671669e-05	4.603045e+00	3.087689e+00
2.354568103671668e-05	4.602857e+00	3.050727e+00
2.364568103671668e-05	4.602586e+00	3.013526e+00
2.374568103671668e-05	4.602384e+00	2.976502e+00
2.384568103671668e-05	4.602114e+00	2.939322e+00
2.394568103671668e-05	4.601913e+00	2.902318e+00
2.404568103671668e-05	4.601644e+00	2.865139e+00
2.414568103671668e-05	4.601441e+00	2.828142e+00
2.424568103671668e-05	4.601173e+00	2.790975e+00
2.434568103671668e-05	4.600970e+00	2.753985e+00
2.444568103671668e-05	4.600703e+00	2.716826e+00
2.454568103671668e-05	4.600499e+00	2.679844e+00
2.464568103671667e-05	4.600234e+00	2.642695e+00
2.474568103671667e-05	4.600029e+00	2.605720e+00
2.484568103671667e-05	4.599764e+00	2.568580e+00
2.494568103671667e-05	4.599557e+00	2.531612e+00
2.504568103671667e-05	4.599294e+00	2.494482e+00
2.514568103671667e-05	4.599087e+00	2.457521e+00
2.524568103671667e-05	4.598824e+00	2.420400e+00
2.534568103671667e-05	4.598616e+00	2.383447e+00
2.544568103671667e-05	4.598354e+00	2.346334e+00
2.554568103671667e-05	4.598146e+00	2.309388e+00
2.564568103671666e-05	4.597885e+00	2.272284e+00
2.574568103671666e-05	4.597675e+00	2.235344e+00
2.584568103671666e-05	4.597414e+00	2.198246e+00
2.594568103671666e-05	4.597203e+00	2.161307e+00
2.604568103671666e-05	4.596941e+00	2.124207e+00
2.614568103671666e-05	4.596726e+00	2.087252e+00
2.624568103671666e-05	4.596459e+00	2.050120e+00
2.634568103671666e-05	4.596232e+00	2.013096e+00
2.644568103671666e-05	4.595946e+00	1.975833e+00
2.654568103671666e-05	4.595682e+00	1.938569e+00
2.664568103671666e-05	4.595336e+00	1.900907e+00
2.674568103671665e-05	4.595005e+00	1.863047e+00
