time	V(pwm)	V(v_triag)	V(vmed)	V(n003)
1.509302274173706e-05	2.946778e-01	3.300750e+00	2.505067e+00	1.886547e+00
1.511718283329670e-05	2.946505e-01	3.287758e+00	2.506652e+00	1.889162e+00
1.514734448130404e-05	2.946275e-01	3.267679e+00	2.507372e+00	1.893093e+00
1.518474446849532e-05	2.946191e-01	3.241679e+00	2.507412e+00	1.897722e+00
1.523069638848077e-05	2.946228e-01	3.215401e+00	2.507176e+00	1.901853e+00
1.527573989250767e-05	2.946320e-01	3.196357e+00	2.507042e+00	1.904080e+00
1.532359293379341e-05	2.946372e-01	3.179228e+00	2.507033e+00	1.905008e+00
1.537705978331244e-05	2.946398e-01	3.160058e+00	2.507075e+00	1.905034e+00
1.544127740788896e-05	2.946377e-01	3.136321e+00	2.507115e+00	1.904332e+00
1.553179231806938e-05	2.946338e-01	3.102507e+00	2.507137e+00	1.902670e+00
1.563179231806938e-05	2.946272e-01	3.065470e+00	2.507151e+00	1.900379e+00
1.573179231806937e-05	2.946214e-01	3.028378e+00	2.507171e+00	1.897902e+00
1.583179231806937e-05	2.946142e-01	2.991322e+00	2.507191e+00	1.895382e+00
1.593179231806937e-05	2.946081e-01	2.954214e+00	2.507210e+00	1.892862e+00
1.603179231806937e-05	2.946011e-01	2.917186e+00	2.507230e+00	1.890359e+00
1.613179231806937e-05	2.945949e-01	2.880082e+00	2.507247e+00	1.887878e+00
1.623179231806937e-05	2.945881e-01	2.843058e+00	2.507266e+00	1.885419e+00
1.633179231806937e-05	2.945822e-01	2.805964e+00	2.507285e+00	1.882985e+00
1.643179231806937e-05	2.945753e-01	2.768948e+00	2.507302e+00	1.880576e+00
1.653179231806937e-05	2.945695e-01	2.731861e+00	2.507320e+00	1.878191e+00
1.663179231806937e-05	2.945627e-01	2.694850e+00	2.507337e+00	1.875830e+00
1.673179231806937e-05	2.945572e-01	2.657772e+00	2.507354e+00	1.873493e+00
1.683179231806936e-05	2.945506e-01	2.620769e+00	2.507373e+00	1.871183e+00
1.693179231806936e-05	2.945451e-01	2.583699e+00	2.507391e+00	1.868900e+00
1.703179231806936e-05	2.945387e-01	2.546704e+00	2.507408e+00	1.866642e+00
1.713179231806936e-05	2.945333e-01	2.509641e+00	2.507425e+00	1.864409e+00
1.723179231806936e-05	2.945271e-01	2.472654e+00	2.507443e+00	1.862202e+00
1.733179231806936e-05	2.945218e-01	2.435599e+00	2.507460e+00	1.860021e+00
